month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
April,Jharkhand,Laterite soil,Hybrid,Monsoon,Yes,269,127,40,Pure
October,West Bengal,Black soil,Hybrid,Monsoon,Yes,270,126,43,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,105,21,Pure
October,Nagaland,Clay loam,Open-pollinated,Warm and dry,Yes,281,31,21,Pure
March,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,300,127,47,Broken
December,Jharkhand,Alluvial soil,Open-pollinated,Warm and dry,Yes,286,31,41,Pure
October,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,356,40,43,Pure
January,Tripura,Sandy loam,Hybrid,Hot and dry,Yes,220,108,21,Pure
March,Meghalaya,Red soil,Open-pollinated,Hot and humid,Yes,347,30,42,Silkcut
March,Punjab,Black soil,Hybrid,Hot and humid,Yes,217,40,24,Pure
March,Meghalaya,Clay soil,Hybrid,Warm and dry,No,198,82,40,Silkcut
August,Nagaland,Clay soil,Hybrid,Warm and dry,Yes,348,128,42,Discolored
May,West Bengal,Laterite soil,Hybrid,Hot and humid,Yes,148,41,26,Pure
April,Meghalaya,Sandy soil,Open-pollinated,Warm and dry,Yes,277,31,27,Pure
April,West Bengal,Clay soil,Hybrid,Hot and dry,Yes,270,107,38,Silkcut
July,Nagaland,Black soil,Hybrid,Hot and humid,Yes,284,40,21,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,274,71,40,Silkcut
March,Tripura,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
December,Jharkhand,Red soil,Hybrid,Hot and dry,Yes,295,123,38,Pure
May,Sikkim,Laterite soil,Open-pollinated,Cold and dry,Yes,243,59,37,Discolored
February,Assam,Laterite soil,Open-pollinated,Warm and dry,Yes,288,30,29,Discolored
August,Nagaland,Laterite soil,Hybrid,Cold and dry,Yes,278,104,40,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,255,30,34,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,30,25,Silkcut
August,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,280,104,31,Discolored
March,Assam,Black soil,Hybrid,Hot and humid,Yes,222,124,21,Discolored
November,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,80,43,Silkcut
January,Mizoram,Sandy loam,Hybrid,Hot and dry,No,120,21,20,Broken
August,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,177,41,43,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,289,40,29,Broken
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,275,31,25,Silkcut
August,Mizoram,Black soil,Hybrid,Hot and humid,Yes,290,31,26,Pure
February,Haryana,Clay loam,Hybrid,Warm and dry,Yes,148,31,30,Silkcut
August,Sikkim,Red soil,Open-pollinated,Monsoon,Yes,282,106,42,Discolored
September,Mizoram,Black soil,Hybrid,Hot and humid,Yes,176,39,40,Broken
March,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,294,129,44,Discolored
February,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,181,40,27,Broken
November,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,41,41,Broken
April,Sikkim,Red soil,Hybrid,Hot and humid,Yes,345,103,45,Discolored
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,236,40,27,Broken
December,Mizoram,Black soil,Hybrid,Warm and dry,Yes,293,67,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,28,Silkcut
March,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,336,39,39,Silkcut
August,Sikkim,Peaty soil,Hybrid,Monsoon,Yes,277,128,46,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,33,41,Silkcut
December,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,121,82,29,Broken
May,Jharkhand,Clay soil,Hybrid,Hot and humid,Yes,297,41,36,Pure
October,Meghalaya,Black soil,Open-pollinated,Cold and dry,Yes,218,81,44,Discolored
July,Bihar,Sandy soil,Hybrid,Warm and dry,Yes,292,124,26,Pure
October,Uttar Pradesh,Black soil,Open-pollinated,Warm and dry,Yes,150,30,21,Silkcut
January,Bihar,Clay soil,Hybrid,Hot and dry,No,121,22,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,280,32,21,Silkcut
March,Jharkhand,Clay soil,Hybrid,Monsoon,Yes,283,72,31,Pure
March,Uttar Pradesh,Sandy soil,Hybrid,Hot and humid,Yes,180,40,29,Broken
May,Nagaland,Alluvial soil,Hybrid,Hot and dry,No,292,129,41,Discolored
March,Mizoram,Red soil,Open-pollinated,Monsoon,Yes,149,80,37,Discolored
February,Sikkim,Black soil,Open-pollinated,Warm and dry,Yes,279,30,21,Silkcut
May,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,181,21,42,Broken
February,Meghalaya,Clay loam,Open-pollinated,Hot and humid,Yes,150,31,27,Silkcut
March,Mizoram,Black soil,Hybrid,Monsoon,Yes,180,125,28,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,30,41,Silkcut
July,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,47,Silkcut
September,Sikkim,Alluvial soil,Open-pollinated,Cold and dry,Yes,287,130,40,Discolored
March,Uttar Pradesh,Clay soil,Open-pollinated,Hot and humid,Yes,269,79,39,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
April,Haryana,Black soil,Hybrid,Warm and dry,Yes,275,41,26,Broken
March,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,218,30,43,Discolored
December,Meghalaya,Sandy soil,Open-pollinated,Monsoon,Yes,351,126,20,Pure
February,Bihar,Sandy soil,Open-pollinated,Monsoon,Yes,180,31,21,Silkcut
October,Mizoram,Clay soil,Hybrid,Monsoon,Yes,241,71,45,Pure
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,123,82,21,Broken
January,Tripura,Black soil,Hybrid,Hot and humid,Yes,218,124,35,Broken
January,Nagaland,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Silkcut
July,Haryana,Laterite soil,Open-pollinated,Hot and dry,No,218,30,28,Discolored
August,Sikkim,Red soil,Open-pollinated,Monsoon,Yes,298,130,39,Discolored
March,Nagaland,Black soil,Hybrid,Hot and humid,Yes,199,41,25,Discolored
January,Tripura,Clay soil,Hybrid,Monsoon,No,120,22,21,Pure
August,Mizoram,Black soil,Hybrid,Hot and dry,Yes,120,69,24,Silkcut
August,Sikkim,Sandy loam,Hybrid,Cold and dry,Yes,280,104,21,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,40,32,Broken
April,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,149,128,29,Pure
February,Jharkhand,Laterite soil,Open-pollinated,Warm and dry,Yes,305,124,26,Broken
March,Sikkim,Black soil,Hybrid,Hot and humid,Yes,350,41,26,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,104,29,Silkcut
February,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,281,40,22,Silkcut
May,Jharkhand,Clay soil,Hybrid,Cold and dry,Yes,220,123,21,Pure
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,275,40,26,Broken
September,Haryana,Black soil,Hybrid,Warm and dry,Yes,277,30,40,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
January,Assam,Sandy loam,Hybrid,Hot and humid,Yes,120,102,21,Pure
February,Jharkhand,Sandy soil,Hybrid,Warm and dry,Yes,294,126,44,Discolored
February,Assam,Clay loam,Hybrid,Monsoon,Yes,351,31,29,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,24,Pure
April,Sikkim,Black soil,Open-pollinated,Cold and dry,Yes,179,50,26,Silkcut
January,Punjab,Clay soil,Hybrid,Hot and dry,No,278,106,25,Silkcut
October,Mizoram,Clay soil,Hybrid,Monsoon,Yes,219,40,27,Pure
May,Meghalaya,Clay loam,Hybrid,Hot and humid,Yes,275,100,40,Broken
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,152,31,27,Silkcut
March,Punjab,Clay soil,Hybrid,Warm and dry,Yes,288,41,27,Silkcut
November,Nagaland,Red soil,Open-pollinated,Warm and dry,Yes,282,41,29,Broken
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,285,30,22,Silkcut
October,Assam,Black soil,Open-pollinated,Hot and humid,Yes,178,30,21,Silkcut
August,Nagaland,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,22,Silkcut
December,Meghalaya,Black soil,Hybrid,Monsoon,Yes,289,71,42,Pure
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,147,30,28,Silkcut
May,Uttar Pradesh,Clay soil,Hybrid,Hot and humid,Yes,180,40,38,Broken
April,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,151,41,29,Silkcut
January,Uttar Pradesh,Peaty soil,Hybrid,Monsoon,Yes,120,41,29,Pure
August,Mizoram,Peaty soil,Hybrid,Hot and humid,Yes,271,108,39,Pure
August,Sikkim,Sandy soil,Open-pollinated,Cold and dry,Yes,350,90,29,Silkcut
April,Haryana,Black soil,Open-pollinated,Cold and dry,Yes,268,40,41,Silkcut
January,Bihar,Black soil,Open-pollinated,Hot and dry,No,120,38,29,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,40,29,Broken
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,121,100,41,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,31,27,Silkcut
August,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,22,Silkcut
March,Haryana,Clay soil,Hybrid,Hot and dry,Yes,121,40,21,Pure
February,Meghalaya,Black soil,Open-pollinated,Hot and humid,Yes,201,30,45,Silkcut
March,Mizoram,Red soil,Hybrid,Hot and humid,Yes,349,40,21,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,41,25,Broken
December,Sikkim,Black soil,Hybrid,Hot and humid,Yes,287,41,41,Silkcut
August,Jharkhand,Red soil,Hybrid,Monsoon,Yes,196,73,43,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,299,30,29,Silkcut
December,Tripura,Clay soil,Open-pollinated,Hot and dry,Yes,197,50,45,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,52,27,Broken
August,Meghalaya,Clay loam,Open-pollinated,Cold and dry,Yes,148,126,40,Silkcut
February,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,291,31,20,Silkcut
December,Sikkim,Red soil,Hybrid,Hot and humid,Yes,298,127,43,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,29,Silkcut
January,Assam,Red soil,Hybrid,Hot and dry,Yes,270,80,36,Pure
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,151,31,21,Silkcut
September,Meghalaya,Alluvial soil,Hybrid,Hot and dry,Yes,284,20,39,Pure
February,Nagaland,Black soil,Open-pollinated,Warm and dry,Yes,340,127,39,Silkcut
February,Uttar Pradesh,Black soil,Open-pollinated,Warm and dry,Yes,286,30,24,Discolored
September,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,239,31,28,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,26,Silkcut
May,Mizoram,Clay soil,Hybrid,Hot and humid,Yes,349,109,21,Broken
September,Haryana,Alluvial soil,Hybrid,Warm and dry,Yes,285,52,30,Broken
September,Jharkhand,Red soil,Hybrid,Cold and dry,Yes,120,123,44,Silkcut
January,Punjab,Sandy loam,Hybrid,Warm and dry,No,293,22,24,Pure
March,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,244,127,40,Pure
January,Punjab,Clay loam,Hybrid,Hot and dry,No,296,21,21,Pure
September,Punjab,Clay soil,Hybrid,Monsoon,Yes,278,128,25,Pure
May,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,282,31,21,Silkcut
February,Mizoram,Black soil,Hybrid,Warm and dry,Yes,216,49,28,Silkcut
March,Haryana,Laterite soil,Open-pollinated,Cold and dry,Yes,149,29,34,Silkcut
January,Punjab,Clay soil,Hybrid,Hot and dry,No,271,20,35,Pure
January,Mizoram,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
November,Jharkhand,Red soil,Open-pollinated,Hot and dry,Yes,246,106,31,Pure
February,Mizoram,Clay soil,Open-pollinated,Hot and humid,Yes,290,31,22,Silkcut
April,Bihar,Sandy loam,Hybrid,Hot and humid,Yes,286,127,45,Broken
November,Sikkim,Clay soil,Open-pollinated,Warm and dry,Yes,273,130,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,146,31,21,Silkcut
February,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,178,123,29,Silkcut
October,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,295,130,42,Broken
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,179,41,43,Silkcut
February,Tripura,Red soil,Open-pollinated,Hot and humid,No,351,39,30,Broken
March,Bihar,Black soil,Open-pollinated,Warm and dry,Yes,347,31,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,102,31,Silkcut
March,Jharkhand,Clay loam,Hybrid,Hot and humid,Yes,222,81,39,Broken
March,Uttar Pradesh,Alluvial soil,Hybrid,Warm and dry,Yes,199,125,38,Broken
January,Nagaland,Red soil,Hybrid,Monsoon,Yes,348,79,42,Discolored
February,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,183,41,21,Silkcut
April,Sikkim,Black soil,Open-pollinated,Monsoon,Yes,267,127,42,Discolored
August,Uttar Pradesh,Red soil,Hybrid,Warm and dry,Yes,239,31,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,32,26,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,33,21,Silkcut
May,Tripura,Laterite soil,Open-pollinated,Hot and humid,Yes,287,130,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,146,30,29,Silkcut
March,Uttar Pradesh,Clay loam,Hybrid,Hot and humid,Yes,120,30,21,Pure
October,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,149,128,41,Discolored
December,Meghalaya,Sandy soil,Open-pollinated,Monsoon,Yes,260,130,45,Discolored
September,Jharkhand,Black soil,Open-pollinated,Cold and dry,Yes,304,96,43,Silkcut
October,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,199,130,26,Silkcut
January,Mizoram,Sandy loam,Hybrid,Hot and dry,Yes,122,20,21,Pure
February,Haryana,Black soil,Hybrid,Warm and dry,Yes,179,31,22,Silkcut
January,Nagaland,Sandy loam,Hybrid,Hot and dry,No,120,105,21,Pure
May,Haryana,Peaty soil,Open-pollinated,Warm and dry,Yes,149,31,27,Silkcut
March,Meghalaya,Black soil,Hybrid,Cold and dry,Yes,276,51,32,Silkcut
July,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,283,125,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,32,33,Silkcut
August,Sikkim,Laterite soil,Open-pollinated,Monsoon,Yes,343,106,39,Discolored
April,Mizoram,Clay soil,Hybrid,Cold and dry,Yes,270,124,39,Discolored
March,Nagaland,Black soil,Hybrid,Hot and humid,Yes,120,20,21,Pure
November,Jharkhand,Clay soil,Open-pollinated,Hot and humid,Yes,290,41,45,Pure
February,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,285,103,21,Silkcut
March,Tripura,Black soil,Hybrid,Warm and dry,Yes,180,41,43,Broken
March,Sikkim,Laterite soil,Open-pollinated,Warm and dry,Yes,149,129,21,Silkcut
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,121,40,21,Broken
February,Sikkim,Sandy soil,Open-pollinated,Warm and dry,Yes,306,130,43,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,25,Pure
January,Haryana,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
March,Meghalaya,Peaty soil,Hybrid,Hot and dry,Yes,244,42,29,Broken
March,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,179,41,27,Broken
March,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,180,31,21,Silkcut
September,Mizoram,Red soil,Hybrid,Hot and humid,Yes,347,106,45,Pure
September,Haryana,Black soil,Hybrid,Hot and humid,Yes,198,61,40,Broken
March,West Bengal,Black soil,Hybrid,Warm and dry,Yes,178,29,22,Silkcut
January,Bihar,Sandy loam,Hybrid,Hot and dry,Yes,220,22,24,Broken
December,Punjab,Clay loam,Hybrid,Hot and dry,No,120,39,20,Pure
August,Mizoram,Red soil,Open-pollinated,Warm and dry,Yes,197,101,42,Silkcut
January,Punjab,Black soil,Hybrid,Hot and humid,Yes,219,20,26,Silkcut
January,Sikkim,Clay soil,Hybrid,Cold and dry,Yes,287,101,30,Discolored
December,Assam,Sandy soil,Hybrid,Monsoon,Yes,278,130,38,Discolored
August,Jharkhand,Sandy loam,Hybrid,Monsoon,Yes,220,71,29,Discolored
March,Jharkhand,Black soil,Open-pollinated,Cold and dry,Yes,179,102,30,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,46,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,Yes,302,20,25,Pure
March,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,262,30,24,Silkcut
March,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,339,122,35,Silkcut
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,120,40,24,Pure
September,Mizoram,Laterite soil,Hybrid,Warm and dry,Yes,278,90,21,Pure
March,Haryana,Clay soil,Open-pollinated,Hot and humid,Yes,297,102,21,Broken
October,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,200,123,40,Discolored
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,281,31,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,281,31,46,Silkcut
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,150,30,21,Silkcut
February,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,149,39,30,Silkcut
December,Meghalaya,Clay soil,Hybrid,Monsoon,Yes,273,40,39,Pure
November,Sikkim,Red soil,Open-pollinated,Hot and dry,Yes,288,125,41,Discolored
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,180,40,29,Silkcut
April,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,40,33,Broken
May,Punjab,Alluvial soil,Hybrid,Hot and dry,Yes,298,22,21,Pure
March,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,295,40,26,Discolored
January,Jharkhand,Red soil,Hybrid,Hot and dry,No,120,40,29,Pure
August,Assam,Clay loam,Open-pollinated,Warm and dry,Yes,290,129,46,Pure
November,Mizoram,Clay loam,Hybrid,Hot and humid,Yes,295,72,25,Silkcut
February,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,347,30,21,Silkcut
August,Haryana,Peaty soil,Open-pollinated,Warm and dry,Yes,350,29,43,Pure
August,Tripura,Alluvial soil,Hybrid,Warm and dry,Yes,178,30,26,Pure
September,Sikkim,Black soil,Hybrid,Warm and dry,Yes,180,41,25,Broken
February,Sikkim,Black soil,Open-pollinated,Hot and humid,Yes,282,129,37,Discolored
July,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,264,40,21,Silkcut
November,Nagaland,Sandy loam,Hybrid,Hot and dry,Yes,218,130,29,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,248,30,28,Silkcut
December,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,148,72,42,Silkcut
July,Mizoram,Red soil,Hybrid,Cold and dry,Yes,120,51,41,Pure
December,Sikkim,Red soil,Open-pollinated,Monsoon,Yes,285,129,43,Discolored
December,Mizoram,Alluvial soil,Open-pollinated,Hot and dry,No,220,52,28,Silkcut
August,Mizoram,Laterite soil,Hybrid,Hot and dry,Yes,120,20,25,Silkcut
February,Mizoram,Laterite soil,Open-pollinated,Warm and dry,Yes,180,42,39,Silkcut
March,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,179,40,29,Silkcut
January,Punjab,Black soil,Hybrid,Warm and dry,No,122,101,24,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,27,Silkcut
March,Assam,Black soil,Open-pollinated,Hot and humid,Yes,304,39,30,Silkcut
August,Bihar,Red soil,Hybrid,Monsoon,Yes,275,70,42,Discolored
December,Jharkhand,Sandy soil,Open-pollinated,Monsoon,Yes,298,30,42,Discolored
May,Bihar,Black soil,Hybrid,Hot and dry,Yes,177,40,28,Broken
March,Jharkhand,Alluvial soil,Hybrid,Warm and dry,Yes,301,51,28,Silkcut
March,Meghalaya,Black soil,Hybrid,Hot and humid,Yes,287,81,39,Pure
August,Haryana,Red soil,Open-pollinated,Hot and humid,Yes,258,104,41,Discolored
August,Jharkhand,Black soil,Open-pollinated,Warm and dry,Yes,268,128,24,Discolored
February,Punjab,Clay soil,Hybrid,Warm and dry,Yes,267,21,21,Pure
April,Meghalaya,Alluvial soil,Open-pollinated,Hot and humid,Yes,287,107,22,Discolored
April,Meghalaya,Laterite soil,Open-pollinated,Monsoon,Yes,219,71,47,Discolored
June,Mizoram,Clay soil,Hybrid,Monsoon,Yes,290,51,39,Discolored
March,Sikkim,Clay soil,Hybrid,Hot and dry,No,120,21,25,Pure
October,Assam,Black soil,Open-pollinated,Hot and dry,Yes,284,128,25,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,22,20,Pure
December,Mizoram,Black soil,Open-pollinated,Hot and humid,Yes,181,69,21,Broken
May,Haryana,Black soil,Hybrid,Hot and dry,Yes,218,104,30,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,20,21,Pure
May,Sikkim,Black soil,Hybrid,Hot and humid,No,120,39,44,Broken
February,Meghalaya,Alluvial soil,Open-pollinated,Warm and dry,Yes,276,102,41,Silkcut
January,Jharkhand,Clay soil,Hybrid,Hot and dry,No,120,20,22,Pure
September,Jharkhand,Alluvial soil,Hybrid,Hot and dry,Yes,120,20,21,Pure
August,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,276,51,42,Silkcut
December,Jharkhand,Sandy soil,Open-pollinated,Monsoon,No,262,102,40,Broken
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,120,42,20,Broken
March,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,290,99,40,Broken
May,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,40,30,Broken
February,Bihar,Peaty soil,Open-pollinated,Hot and humid,Yes,294,40,28,Silkcut
January,Jharkhand,Sandy soil,Hybrid,Warm and dry,No,120,20,25,Pure
September,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,288,127,46,Broken
February,West Bengal,Alluvial soil,Open-pollinated,Warm and dry,Yes,358,30,41,Silkcut
February,Haryana,Red soil,Open-pollinated,Cold and dry,Yes,275,31,41,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,216,21,20,Pure
January,Punjab,Black soil,Hybrid,Hot and humid,No,120,40,21,Pure
June,Mizoram,Sandy soil,Open-pollinated,Cold and dry,Yes,351,126,42,Silkcut
January,Punjab,Sandy loam,Open-pollinated,Hot and dry,No,120,22,23,Pure
March,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,265,130,20,Pure
January,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,278,40,21,Silkcut
August,West Bengal,Peaty soil,Open-pollinated,Monsoon,Yes,217,107,40,Discolored
September,Sikkim,Black soil,Hybrid,Cold and dry,Yes,180,30,40,Silkcut
January,Meghalaya,Red soil,Hybrid,Hot and dry,Yes,290,128,40,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,27,Silkcut
June,Uttar Pradesh,Red soil,Hybrid,Warm and dry,Yes,233,31,27,Broken
September,Meghalaya,Red soil,Open-pollinated,Warm and dry,Yes,279,124,40,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,145,31,25,Silkcut
September,Mizoram,Clay soil,Open-pollinated,Warm and dry,Yes,274,90,20,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,30,25,Pure
March,Sikkim,Black soil,Open-pollinated,Warm and dry,Yes,256,130,28,Discolored
January,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,258,59,28,Broken
November,Nagaland,Black soil,Open-pollinated,Warm and dry,Yes,293,70,22,Pure
August,Meghalaya,Black soil,Hybrid,Warm and dry,Yes,346,30,29,Pure
February,Mizoram,Black soil,Hybrid,Warm and dry,Yes,296,31,29,Silkcut
June,Mizoram,Red soil,Open-pollinated,Hot and dry,Yes,294,105,27,Silkcut
February,Mizoram,Red soil,Open-pollinated,Warm and dry,Yes,263,126,42,Silkcut
March,Nagaland,Sandy soil,Hybrid,Hot and humid,Yes,300,130,43,Discolored
March,Tripura,Black soil,Hybrid,Hot and dry,Yes,290,52,28,Broken
May,Nagaland,Black soil,Hybrid,Hot and humid,Yes,181,40,28,Broken
March,Punjab,Sandy loam,Hybrid,Hot and dry,No,179,41,21,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,147,30,25,Silkcut
October,Sikkim,Black soil,Hybrid,Warm and dry,Yes,204,40,43,Broken
May,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,262,128,25,Discolored
September,Nagaland,Black soil,Hybrid,Hot and humid,Yes,276,41,41,Broken
February,Sikkim,Clay loam,Open-pollinated,Warm and dry,Yes,277,127,25,Silkcut
December,Sikkim,Clay soil,Open-pollinated,Monsoon,Yes,248,52,43,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,39,26,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
March,Tripura,Clay soil,Hybrid,Hot and humid,Yes,292,30,26,Silkcut
March,Nagaland,Laterite soil,Hybrid,Hot and humid,Yes,120,40,29,Silkcut
December,Mizoram,Red soil,Open-pollinated,Monsoon,Yes,283,130,41,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,289,40,21,Broken
February,Nagaland,Clay loam,Open-pollinated,Warm and dry,Yes,291,30,39,Silkcut
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,280,60,36,Pure
September,Bihar,Black soil,Hybrid,Hot and humid,Yes,120,30,30,Broken
February,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,42,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,31,27,Silkcut
March,Sikkim,Black soil,Hybrid,Hot and humid,Yes,179,79,41,Discolored
March,Uttar Pradesh,Peaty soil,Hybrid,Hot and humid,Yes,148,20,29,Pure
December,Uttar Pradesh,Red soil,Hybrid,Monsoon,Yes,281,80,40,Broken
March,Sikkim,Laterite soil,Open-pollinated,Hot and humid,Yes,280,31,43,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,24,Pure
January,Jharkhand,Red soil,Hybrid,Hot and dry,Yes,281,39,39,Pure
August,Sikkim,Black soil,Hybrid,Hot and dry,Yes,288,104,25,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,247,41,26,Broken
